"id";"value"
0;"-"
6;"AUDIO-VIDEO"
999;"OTROS"
5;"ILUMINACION"
2;"LENTES"
4;"TRIPODES"
3;"FILTROS"
7;"MOCHILAS-BOLSOS"
1;"CAMARAS"
