"id";"value"
0;"-"
3;"DAVID-AND-JOSEPH"
12;"TODO-CAMARAS"
25;"E-BEST"
22;"CANON-CHILE"
11;"SMART-DEVICE"
21;"MARENSEPIA"
24;"MI-FOTO-PRO"
5;"FACTOR-FOTOGRAFICO"
23;"TRAE-MI-CAMARA"
4;"EL-CUARTO-DIGITAL"
1;"ANDES-PHOTO"
13;"TRIPODES"
8;"HORIZONTAL-FOTO"
9;"KILLSTORE"
2;"APERTURA"
7;"FOTO-SIMPLE"
10;"RINCON-FOTOGRAFICO"
20;"PC-FACTORY"
