"id";"value";"url";"market_id"
75;"LS-224C+LH25";"https://www.andesphoto.cl/tripode-carbono-leofoto-ranger-con-cabezal-4-sec-ls-224c";1
70;"IN360-BCCOX";"https://www.horizontalfoto.cl/insta360-one-x-charger-2x";8
87;"3053";"https://www.apertura.cl/tienda/lentes-para-sony-e-e-mount/3053-tamron-17-28mm-f28-di-iii-rxd-lente-para-camaras-sony-con-montura-e.html";2
1474;"NIKZ-2470F4";"https://www.horizontalfoto.cl/nikon-z-24-70mm-f28-s";8
58;"VCT-SCM1";"https://www.horizontalfoto.cl/copa-de-succion";8
96;"1254";"https://www.apertura.cl/tienda/kits-de-filtros/1254-set-3-filtros-49mm-uv-polar-fld.html";2
798;"M285";"https://www.elcuartodigital.cl/internal-camera-unit/1431-349-Pro-ICU-Slope-Medium.html#";4
60;"VCT-RBM2";"https://www.horizontalfoto.cl/montura-en-barra-vct-rbm2";8
89;"NID-MAVIC2PRO-ND32";"https://www.andesphoto.cl/filtro-nisi-para-drone-dji-mavic-2-pro-nd32-5-pasos";1
3996;"1897C021";"https://www.killstore.cl/canon-eos-6d-mark-ii--24-105mm-is-stm/p";9
81;"LX-324CT+XB38";"https://www.andesphoto.cl/tripode-carbono-leofoto-serie-lx-con-cabezal-4-sec-lx-324ct";1
5888;"YNGN-F14-MA";"https://smartdevice.cl/liquidacion/1644-open-box-lente-yongnuo-yn50mm-f14-canon-manual.html";11
73;"IN360-ONE4KC";"https://www.horizontalfoto.cl/insta360-one-r-drive-case";8
83;"3703";"https://www.apertura.cl/tienda/lentes-para-sony-e-e-mount/3703-yongnuo-lente-50mm-f18s-da-dsm-montura-sony-e-lente-ideal-para-retratos.html";2
71;"IN360-ONERALC";"https://www.horizontalfoto.cl/insta360-one-x-cable-usbc";8
97;"975";"https://www.apertura.cl/tienda/kits-de-filtros/975-set-3-filtros-52mm-uv-polar-fld-523889230509.html";2
90;"NID-MAVIC2PRO-ND1000";"https://www.andesphoto.cl/filtro-nisi-para-drone-dji-mavic-2-pro-nd32-10-pasos";1
48;"VCT-AMK1";"https://www.horizontalfoto.cl/kit-de-brazo-para-action-cam";8
54;"AKA-FL2";"https://www.horizontalfoto.cl/flotador-para-action-cam";8
98;"801";"https://www.apertura.cl/tienda/kits-de-filtros/801-set-3-filtros-67mm-uv-polar-fld.html";2
85;"2636";"https://www.apertura.cl/tienda/lentes-para-sony-e-e-mount/2636-tamron-28-75-mm-28-di-iii-rxd-lente-para-camaras-sony-con-montura-e.html";2
95;"2138";"https://www.apertura.cl/tienda/al-que-le-gusta-hacer-videos/2138-estuche-para-filtros.html";2
94;"3433";"https://www.apertura.cl/tienda/montura-micro-cuatro-tercios/3433-yongnuo-yn-425mm-f-17-lente-para-micro-cuatro-tercios.html";2
50;"VCT-AMP1";"https://www.horizontalfoto.cl/monopie-de-accion-para-action-cam";8
78;"LS-324C+LH40";"https://www.andesphoto.cl/tripode-carbono-leofoto-ranger-con-cabezal-4-sec-ls-324c";1
49;"AKA-CMH1";"https://www.horizontalfoto.cl/arnes-para-el-pecho-aka-cmh1-para-action-cam";8
63;"GP-VPT1";"https://www.horizontalfoto.cl/tripode-con-control-remoto-para-handicam";8
76;"LS-254C+LH30";"https://www.andesphoto.cl/tripode-carbono-leofoto-ranger-con-cabezal-4-sec-ls-254c";1
51;"VCT-BDM1";"https://www.horizontalfoto.cl/montura-para-tablas-de-la-action-cam";8
55;"AKA-FGP1";"https://www.horizontalfoto.cl/empunadura-para-los-dedos-action-cam";8
99;"625";"https://www.apertura.cl/tienda/kits-de-filtros/625-set-3-filtros-72mm-uv-polar-fld.html";2
59;"VCT-HM2";"https://www.horizontalfoto.cl/montura-para-manubrio-vct-hm2";8
7497;"MB PL-E-705";"https://www.killstore.cl/cobertor-de-lluvia-manfrotto-e-705-pl-elements-cover/p";9
93;"NID-MAVIC2PRO-NN";"https://www.andesphoto.cl/filtro-nisi-para-drone-dji-mavic-2-pro-polarizador";1
