"id";"value";"revised_at";"product_sku_id";"product_id";"price_type_id"
12527;62990;"2020-08-19 22";4806;4919;1
12528;66490;"2020-08-19 22";4807;4920;2
12529;69990;"2020-08-19 22";4807;4920;1
12530;66490;"2020-08-19 22";4808;4921;2
12531;69990;"2020-08-19 22";4808;4921;1
12532;77590;"2020-08-19 22";4809;4922;2
12533;79990;"2020-08-19 22";4809;4922;1
12534;77590;"2020-08-19 22";4810;4923;2
12535;79990;"2020-08-19 22";4810;4923;1
12536;89990;"2020-08-19 22";4811;4924;2
12537;92790;"2020-08-19 22";4811;4924;1
12538;184290;"2020-08-19 22";4812;4925;2
12539;189990;"2020-08-19 22";4812;4925;1
12540;360990;"2020-08-25 22";4790;4903;2
12541;6490;"2020-08-19 22";4813;4926;2
12542;6690;"2020-08-19 22";4813;4926;1
12543;11390;"2020-08-19 22";4814;3721;2
12544;11990;"2020-08-19 22";4814;3721;1
12545;18990;"2020-08-19 22";4815;4927;2
12546;19990;"2020-08-19 22";4815;4927;1
12547;31290;"2020-08-19 22";4816;4928;2
12548;32990;"2020-08-19 22";4816;4928;1
12549;35990;"2020-08-19 22";4817;4929;2
12550;37890;"2020-08-19 22";4817;4929;1
12551;75990;"2020-08-19 22";4818;4930;2
12552;79990;"2020-08-19 22";4818;4930;1
12553;90190;"2020-08-19 22";4819;4931;2
12554;94990;"2020-08-19 22";4819;4931;1
12555;116990;"2020-08-19 22";4820;4932;2
12556;120590;"2020-08-19 22";4820;4932;1
12557;180490;"2020-08-19 22";4821;4933;2
12558;189990;"2020-08-19 22";4821;4933;1
12559;199990;"2020-08-19 22";4822;4934;2
12560;206190;"2020-08-19 22";4822;4934;1
12561;56990;"2020-08-19 22";4823;4935;2
12562;59990;"2020-08-19 22";4823;4935;1
12563;75990;"2020-08-19 22";4824;4936;2
12564;79990;"2020-08-19 22";4824;4936;1
12565;142490;"2020-08-19 22";4825;4937;2
12566;149990;"2020-08-19 22";4825;4937;1
12567;145490;"2020-08-19 22";4826;4938;2
12568;149990;"2020-08-19 22";4826;4938;1
12569;189990;"2020-08-19 22";4827;4939;2
12570;199990;"2020-08-19 22";4827;4939;1
12571;189990;"2020-08-19 22";4828;4940;2
12572;195890;"2020-08-19 22";4828;4940;1
12573;189990;"2020-08-19 22";4829;4941;2
12574;199990;"2020-08-19 22";4829;4941;1
